ano	prec
1950	823.5
1951	761.6
1952	458.2
1953	681.1
1954	860.5
1955	819.3
1956	1362.5
1957	962.6
1958	615.9
1959	407.6
1960	568.8
1961	459.4
1962	540
1963	455.3
1964	668
1965	428.6
1966	861.1
1967	966.5
1968	859.2
1969	1737.1
1970	1449.1
1971	1264.3
1972	1253.2
1973	1974.2
1974	1971.3
1975	2017.2
1976	1578.1
1977	1668.7
1978	1675
1979	1300.6
1980	1442.7
1981	1283.9
1982	1822.4
1983	1382.9
1984	1802.2
1985	2399.8
1986	2236.6
1987	1327.5
1988	1985.7
1989	2834.5
1990	1209.5
1991	1414.8
1992	1752.4
1993	1079.3
1994	1307.4
1995	1235.9
1996	1418.6
1997	1974
1998	1454.4
1999	2266.7
2000	1996.6
2001	1252
2002	1166.1
2003	1085.6
2004	1189.4
2005	1533.5
2006	1943.8

