ano	Jan	Fev	Mar	Abr	Mai	Jun	Jul	Ago	Set	Out	Nov	Dez
1950	28.7	90.6	75.9	284.0	293.9	88.4	221.7	82.7	41.3	59.1	70.7	32.2
1951	14.5	17.7	10.7	310.3	249.5	175.8	137.5	62.1	39.5	39.6	24.1	30.8
1952	8.2	15.1	173.5	149.1	196.8	105.7	112.4	83.6	10.6	9.8	0.5	108.8
1953	23.9	3.1	38.0	219.6	150.7	132.5	148.6	95.6	16.0	9.8	142.9	22.5
1954	79.5	102.7	76.9	130.1	168.8	140.3	91.9	107.2	26.4	2.9	47.9	37.4
1955	37.4	71.2	38.6	235.4	84.5	39.1	79.2	80.9	91.7	59.9	67.6	59.7
1956	46.3	193.4	111.5	142.4	68.7	36.4	173.4	233.7	31.6	74.6	118.4	1.9
1957	80.6	0.8	238.5	156.1	317.4	110.6	92.5	75.1	10.7	49.5	10.4	18.5
1958	76.5	12.0	66.7	65.2	126.8	147.5	134.2	42.7	109.3	19.7	4.4	98.5
1959	25.0	39.7	71.5	66.7	78.8	126.8	179.1	77.4	27.5	8.8	33.0	16.8
1960	48.5	17.6	293.4	157.6	98.3	170.9	120.3	64.1	8.2	18.7	55.1	15.2
1961	30.6	18.7	88.5	40.1	87.8	195.0	87.7	57.3	2.0	32.7	12.5	12.6
1962	0.3	7.9	44.8	27.0	258.3	156.6	87.8	63.2	54.5	19.8	47.4	13.0
1963	7.1	49.1	48.7	93.8	225.2	86.1	37.2	31.9	41.0	4.5	96.1	140.0
1964	69.2	31.1	134.6	363.5	269.3	117.4	113.8	88.9	69.0	130.2	57.5	27.9
1965	63.7	13.3	37.6	101.1	27.9	105.4	77.3	69.3	46.9	42.8	26.8	34.1
1966	19.5	127.5	58.2	272.8	191.4	149.9	164.3	97.0	88.1	14.3	53.1	67.1
1967	3.3	47.1	80.3	119.8	284.6	331.9	141.4	97.9	50.2	25.9	18.4	108.0
1968	51.1	58.0	94.9	111.4	437.8	133.6	168.8	47.9	24.7	15.8	100.0	20.7
1969	71.7	54.1	304.1	137.5	372.4	337.0	302.0	74.1	32.5	12.3	4.9	134.3
1970	121.6	100.5	182.0	66.0	121.6	93.9	171.2	204.3	46.8	29.9	32.0	28.5
1971	31.1	33.9	79.5	91.1	238.7	164.5	135.4	138.6	141.9	77.2	2.4	47.4
1972	56.8	80.4	66.6	94.2	202.7	240.5	81.8	116.5	56.1	34.5	5.3	53.0
1973	20.5	11.5	8.6	132.9	447.6	241.3	233.8	86.1	181.3	128.5	29.0	15.7
1974	122.1	70.4	107.7	279.9	469.7	191.1	176.6	140.5	86.4	11.9	80.2	5.7
1975	31.2	33.4	114.7	175.3	213.3	340.0	475.6	121.9	147.1	1.8	9.0	92.0
1976	22.1	140.8	140.7	223.4	107.7	163.6	115.7	89.3	22.7	295.9	64.4	43.9
1977	63.6	141.7	40.2	261.0	295.6	174.9	212.3	132.4	101.1	136.3	55.4	119.5
1978	8.5	194.5	236.6	173.3	226.4	117.9	290.4	168.2	71.7	10.8	7.0	80.6
1979	20.7	49.9	70.6	238.6	99.2	252.7	148.2	90.4	85.0	28.2	257.4	1.3
1980	66.7	343.2	91.6	18.6	115.4	165.2	235.2	101.1	65.3	94.7	111.6	23.0
1981	41.4	47.6	194.8	273.1	136.3	160.8	141.4	145.1	40.9	0.0	97.5	111.6
1982	17.3	76.3	12.0	342.5	188.4	225.0	207.1	146.4	128.7	79.8	12.4	29.3
1983	5.4	99.4	74.6	191.5	34.5	156.4	188.6	127.2	49.2	58.6	40.0	33.8
1984	32.7	17.7	126.8	339.8	258.3	166.3	145.8	81.4	296.3	53.8	33.4	6.0
1985	19.7	162.7	156.7	348.7	319.1	261.4	338.3	176.6	121.6	8.0	123.3	55.2
1986	30.0	82.6	280.3	195.1	352.2	233.6	236.9	78.3	117.4	247.5	88.1	39.3
1987	92.7	103.3	130.6	127.9	211.1	152.9	252.5	170.5	44.8	13.6	37.6	17.4
1988	50.7	24.5	157.2	207.3	259.2	459.0	343.1	99.2	99.7	99.9	92.1	112.6
1989	26.4	1.0	127.7	366.6	712.2	217.6	247.2	170.3	187.1	116.1	37.3	245.2
1990	43.5	3.6	61.8	150.9	87.1	142.9	205.7	154.2	116.8	165.8	51.1	101.4
