ano	prec
1950	1530.7
1951	1215.8
1952	1126.8
1953	1098.6
1954	1056.8
1955	982.5
1956	1193.7
1957	1219.1
1958	988.6
1959	852.8
1960	1215.9
1961	726.4
1962	851.8
1963	980.7
1964	1710.7
1965	710.5
1966	1434.1
1967	1410.2
1968	1384.7
1969	1866.5
1970	1124.2
1971	1157.4
1972	1039.8
1973	1407.3
1974	1674.5
1975	1677.6
1976	1386.4
1977	1753.4
1978	1559.4
1979	1354.4
1980	1428.2
1981	1422
1982	1359.4
1983	963.3
1984	1486
1985	1999.7
1986	1906
1987	1363
1988	2009.9
1989	2342.3
1990	1307.2
1991	1144.7
1992	1361.10719206242
1993	547.688685337083
1994	872.6
1995	1110.8
1996	1323.1
1997	1130.9
1998	1184.4
1999	1491.8
2000	1616
2001	1230.7
2002	1320.1
2003	867.1
2004	960.8
2005	1085.7
2006	1428.6

