ano	vazao
1950	3.96797371666667
1951	4.47084543333333
1952	3.93003255
1953	3.03292723333333
1954	3.70478974166667
1955	3.14689490833333
1956	4.54624658333333
1957	6.551862
1958	2.73029066666667
1959	1.58199574166667
1960	3.69416749166667
1961	1.36443070833333
1962	3.28417125833333
1963	2.228145925
1964	3.66439541666667
1965	2.03606936363636
1966	5.05732658333333
1967	4.18486491666667
1968	5.04223525
1969	6.98894258333333
1970	3.96783025
1971	3.3782818
1972	2.56746483333333
1973	5.585386125
1974	6.64061425
1975	8.66152466666667
1976	4.88961041666667
1977	6.19237833333333
1978	7.17654116666667
1979	4.83947683333333
1980	4.33301525
1981	3.52531183333333
1982	5.92030725
1983	4.02119516666667
1984	5.53076133333333
1985	9.11504391666667
1986	13.3852900833333
1987	5.40550991666667
1988	8.83676800833333
1989	16.3305506666667
1990	6.19167666666667
1991	6.54702141666667
1992	6.40035366666667
1993	2.79646308333333
1994	3.82062775
1995	3.61546591666667
1996	4.37730491666667
1997	5.68423116666667
1998	5.54847308333333
1999	7.12205508333333
2000	7.30313175
2001	3.598256
2002	4.95043541666667
2003	3.67607791666667
2004	3.637854625
2005	4.31718883333333
2006	4.39573245454545
