ano	vazao
1985     9.040466
1986    13.094575
1987     5.132219
1988     8.949945
1989    18.000575
1990     6.045534
1991     4.862329
1992     4.747568
1993     2.181096
1994     3.259205
1995     3.085808
1996     3.711995
1997     5.807068
1998     4.415068
1999     5.529863
2000     6.801503
2001     3.534740
2002     4.649233
2003     3.631479
2004     3.875492
2005     4.198110
2006     4.246707
2007     7.227233
2008     5.420765
2009     5.422466
2010     7.750274
2011     5.376849
2012     2.033361
2013     6.016904
2014     4.228356
2015     7.424630
2016     4.857555
2017     8.362575
2018     3.798849
