ano	vazao
1950	3.96797371666667
1951	4.47084543333333
1952	3.93003255
1953	3.03292723333333
1954	3.70478974166667
1955	3.14689490833333
1956	4.54624658333333
1957	6.551862
1958	2.73029066666667
1959	1.58199574166667
1960	3.69416749166667
1961	1.36443070833333
1962	3.28417125833333
1963	2.228145925
1964	3.66439541666667
1965	2.03606936363636
1966	5.05732658333333
1967	4.18486491666667
1968	5.04223525
1969	6.98894258333333
1970	3.96783025
1971	3.3782818
1972	2.56746483333333
1973	5.585386125
1974	6.64061425
1975	8.66152466666667
1976	4.88961041666667
1977	6.19237833333333
1978	7.17654116666667
1979	4.83947683333333
1980	4.33301525
1981	3.52531183333333
1982	5.92030725
1983	4.02119516666667
1984	5.53076133333333
1985     9.040466
1986    13.094575
1987     5.132219
1988     8.949945
1989    18.000575
1990     6.045534
1991     4.862329
1992     4.747568
1993     2.181096
1994     3.259205
1995     3.085808
1996     3.711995
1997     5.807068
1998     4.415068
1999     5.529863
2000     6.801503
2001     3.534740
2002     4.649233
2003     3.631479
2004     3.875492
2005     4.198110
2006     4.246707
2007     7.227233
2008     5.420765
2009     5.422466
2010     7.750274
2011     5.376849
2012     2.033361
2013     6.016904
2014     4.228356
2015     7.424630
2016     4.857555
2017     8.362575
2018     3.798849
