ano	Jan	Fev	Mar	Abr	Mai	Jun	Jul	Ago	Set	Out	Nov	Dez
1950	0.77	1.16	3.52	7.75	15.97	2.41	3.72	3.51	2.16	2.13	2.66	1.85
1951	1.48	0.60	0.00	0.00	15.90	10.62	7.67	5.24	3.59	1.95	2.03	4.58
1952	1.81	0.45	3.58	1.82	11.31	4.16	5.05	7.39	2.89	2.29	1.95	4.46
1953	1.80	0.81	0.97	3.00	4.33	5.82	5.13	3.41	1.68	1.92	3.98	3.54
1954	2.74	0.94	0.76	3.50	8.76	7.55	5.08	3.05	4.98	1.93	1.89	3.28
1955	1.37	2.56	0.97	10.78	3.90	2.37	2.54	2.61	2.74	3.45	1.68	2.78
1956	1.99	4.54	3.60	5.39	2.07	1.93	5.87	12.42	6.09	4.29	4.53	1.82
1957	1.71	1.03	5.39	13.63	29.82	4.78	3.04	5.75	4.25	4.42	3.11	1.69
1958	1.72	2.79	1.69	2.75	3.56	3.51	5.51	3.60	2.26	1.93	1.82	1.63
1959	1.21	0.97	1.04	1.22	1.30	2.22	2.73	3.07	2.13	1.14	1.06	0.89
1960	0.40	0.40	2.76	8.12	2.55	12.21	6.92	4.13	2.06	1.59	2.24	0.95
1961	0.97	0.41	0.00	2.03	1.22	4.43	2.91	3.49	0.92	0.00	0.00	0.00
1962	0.00	0.00	0.00	0.00	23.96	5.53	4.47	2.11	1.56	0.54	0.71	0.54
1963	0.37	0.30	0.33	1.72	10.08	5.82	3.76	1.93	1.50	0.93	0.00	0.00
1964	1.90	0.00	0.00	10.38	9.87	1.65	3.12	7.42	4.44	2.93	2.27	0.00
1965	2.11	0.00	1.86	2.20	2.05	3.64	3.05	4.19	2.48	1.59	0.91	0.44
1966	0.00	1.72	2.59	9.59	15.51	7.38	6.57	6.34	3.73	3.21	2.02	2.02
1967	1.88	2.01	2.62	5.18	10.43	13.34	2.76	3.44	2.74	1.59	1.60	2.63
1968	2.14	1.95	0.00	0.00	19.45	9.75	17.75	2.25	1.33	1.94	1.84	2.11
1969	2.64	2.67	13.91	4.41	9.74	8.66	16.96	4.22	4.64	6.13	4.18	5.71
1970	4.31	4.27	4.98	3.09	2.82	3.30	6.30	8.78	3.34	2.58	2.36	1.50
1971	1.27	1.24	0.97	1.08	6.27	8.54	3.96	5.65	9.45	3.13	2.31	1.83
